Year,Opponent,ACC,Atlantic,Home_Away,Win_Loss,Total_offense,Plays,Yards_Play,Rushing_Yards,Passing_Yards,Pass_Attempts,Pass_Completions,Completion_Percentage,Interceptions,First_Downs,Touchdowns,Third_Down_Conversion,Punt_Avg,Fumbles,Turnovers,Penalties,Penalty_Yards,Sacks,Sack_Yards
2020,Wake Forest,1,1,Home,Win,463,73,6.3,270,193,24,17,0.708,1,24,6,0.46,37.5,2,1,6,65,6,30
2020,Virginia Tech,1,0,Away,Loss,386,75,5.1,139,247,33,19,0.576,2,19,3,0.31,51,0,2,8,65,2,21
2020,Pittsburg,1,0,Away,Win,398,75,5.3,62,336,45,28,0.622,0,28,4,0.44,44.3,0,0,11,80,1,6
2020,Virginia,1,0,Away,Win,363,67,5.4,179,184,25,11,0.444,1,17,5,0.23,38.8,0,1,11,100,3,14
2020,Duke,1,0,Home,Win,365,70,5.1,107,248,33,19,0.576,1,19,4,0.47,37.5,3,3,8,106,4,11
2020,UNC,1,0,Away,Loss,392,63,6.9,34,358,44,27,0.614,3,23,3,0.4,54.8,1,4,5,41,3,21
2020,Miami,1,0,Home,Loss,410,63,6.5,131,279,29,20,0.69,1,24,5,0.58,46.7,1,1,8,78,2,12
2020,Florida State,1,1,Home,Win,413,73,5.7,148,265,34,24,0.706,1,24,5,0.67,41.5,0,1,6,70,3,15
2019,East Carolina,0,0,Home,Win,505,70,7.2,191,314,39,26,0.67,0,23,4,0.33,41.6,2,0,6,55,3,24
2019,Western Carolina,0,0,Home,Win,540,86,6.3,309,231,33,22,0.67,0,32,5,0.43,49.3,0,0,3,29,4,26
2019,West Virginia,0,0,Away,Loss,369,86,4.3,144,225,49,24,0.49,0,24,3,0.29,37.2,1,0,9,88,1,4
2019,Ball State,0,0,Home,Win,371,75,4.9,186,185,34,19,0.559,2,22,4,0.56,51,0,2,9,62,2,19
2019,Florida State,1,1,Away,Loss,370,80,4.6,88,282,52,28,0.538,0,24,1,0.25,47.5,3,2,8,57,8,45
2019,Syracuse,1,1,Home,Win,364,65,5.6,104,260,31,18,0.58,1,21,1,0.27,48.8,0,1,4,47,8,52
2019,Boston College,1,1,Away,Loss,366,71,5.2,56,310,44,20,0.455,1,15,3,0.24,45.5,1,1,2,20,0,0
2019,Wake Forest,1,1,Home,Loss,265,71,3.7,116,149,45,17,0.378,2,17,1,0.41,46.9,2,3,10,87,2,16
2019,Clemson,1,1,Away,Loss,290,60,4.8,124,166,29,14,0.483,0,13,1,0.31,52.2,4,4,10,72,2,16
2019,Louisville,1,1,Home,Loss,377,81,4.7,134,243,46,24,0.522,1,25,2,0.47,54,4,3,4,51,3,19
2019,Georgia Tech,1,0,Away,Loss,457,80,5.7,230,227,31,19,0.613,0,27,3,0.47,40,2,2,2,21,0,0
2019,UNC,1,0,Home,Loss,289,56,5.2,132,157,30,13,0.433,3,16,1,0.17,48.3,2,4,8,65,3,20
2018,James Madison,0,0,Home,Win,392,72,5.4,83,309,43,29,0.674,0,25,3,0.69,36.5,2,1,5,50,2,7
2018,Georgia State,0,0,Home,Win,541,70,7.7,115,426,39,32,0.821,1,24,5,0.44,47,2,1,6,52,3,11
2018,Marshall,0,0,Away,Win,502,76,6.6,125,377,40,23,0.575,0,24,4,0.56,36.2,1,1,4,25,1,2
2018,Virginia,1,0,Home,Win,433,71,6.1,176,257,32,22,0.688,0,25,4,0.62,41.7,1,0,7,80,4,30
2018,Boston College,1,1,Home,Win,533,87,6.1,225,308,34,25,0.735,2,34,4,0.67,24.5,2,4,1,5,3,15
2018,Clemson,1,1,Away,Loss,297,66,4.5,104,193,35,22,0.629,2,16,1,0.17,48.3,1,3,6,49,2,13
2018,Syracuse,1,1,Away,Loss,541,73,7.4,68,473,44,26,0.591,1,21,5,0.4,41.4,2,1,9,95,5,44
2018,Florida State,1,1,Home,Win,417,77,5.4,177,240,28,21,0.75,0,25,5,0.31,42,0,0,4,50,5,35
2018,Wake Forest,1,1,Home,Loss,421,80,5.3,47,374,53,35,0.7,1,23,2,0.38,39.6,1,1,6,55,4,9
2018,Louisville,1,1,Away,Win,518,78,6.6,164,354,42,31,0.738,0,29,7,0.71,46.7,0,0,2,25,3,9
2018,UNC,1,0,Away,Win,406,77,5.3,206,200,29,16,0.552,1,22,5,0.44,38.6,1,1,3,35,1,7
2018,East Carolina,0,0,Home,Win,655,83,7.9,234,421,45,33,0.733,1,32,7,0.63,38.5,2,3,3,30,2,15
2017,South Carolina,0,0,Away,Loss,504,99,5.1,89,415,64,45,0.703,0,29,4,0.45,49,2,2,8,65,3,20
2017,Marshall,0,0,Home,Win,485,69,7,144,341,36,29,0.81,0,23,5,0.3,42.2,0,0,3,33,1,11
2017,Furman,0,0,Home,Win,490,69,7.1,242,248,30,24,0.8,0,25,7,0.64,37.4,1,0,5,50,2,9
2017,Florida State,1,1,Away,Win,365,70,5.2,110,255,33,23,0.7,0,21,3,0.42,33.2,0,0,6,41,4,21
2017,Syracuse,1,1,Home,Win,462,81,5.7,256,206,34,21,0.618,0,29,4,0.25,51.8,2,0,6,49,3,24
2017,Louisville,1,1,Home,Win,520,71,7.3,153,367,32,20,0.625,0,23,5,0.42,45,2,1,6,50,4,24
2017,Pittsburg,1,0,Away,Win,446,63,7.1,248,198,25,14,0.56,0,18,5,0.38,44.7,0,0,3,39,1,12
2017,Notre Dame,0,0,Away,Loss,263,61,4.3,50,213,37,17,0.459,1,14,2,0.31,44.5,1,1,12,89,2,7
2017,Clemson,1,1,Home,Loss,491,84,5.8,153,338,50,31,0.62,2,27,4,0.23,49.2,0,2,6,69,0,0
2017,Boston College,1,1,Away,Win,367,73,5,217,150,33,14,0.42,1,17,2,0.53,43.5,1,2,2,10,2,28
2017,Wake Forest,1,1,Away,Loss,502,94,5.3,175,327,52,34,0.654,1,28,3,0.61,39.8,4,3,5,64,0,0
2017,UNC,1,0,Home,Win,496,75,6.6,292,204,30,20,0.67,1,25,5,0.43,33.5,2,2,11,108,2,19
2016,William and Mary,0,0,Home,Win,52,87,6,259,262,30,23,0.767,1,28,7,0.67,40,1,1,7,80,1,7
2016,East Carolina,0,0,Away,Loss,502,63,8,215,287,32,21,0.656,0,19,4,0.36,52,2,1,8,54,1,8
2016,Old Dominion,0,0,Home,Win,474,71,6.7,158,316,32,27,0.844,0,28,7,0.64,47.5,1,1,2,24,5,42
2016,Wake Forest,1,1,Home,Win,527,76,6.9,200,327,37,24,0.649,0,28,4,0.5,54.5,0,0,13,144,2,24
2016,Notre Dame,0,0,Home,Win,198,65,3,157,41,14,7,0.5,0,14,1,0.14,37,6,2,2,20,5,17
